Hardware Time,Global Time\Signal,CAN1.EEC1.Engine_Speed,CAN1.EEC2.Accel_Pedal_Pos,CAN1.CCVS1.Vehicle_Speed,CAN1.LFE.Engine_Fuel_Rate,CAN1.LFE.Engine_Inst_Fuel_Economy,Raw Data
3.837468,2026-07-29 10:07:10.430,0,,,,,CAN=3.837468 Rx 0 $0CF00400 D 8 FF FF FF 00 00 FF FF FF 
3.8475,2026-07-29 10:07:10.440,0,,,,,CAN=3.8475 Rx 0 $0CF00400 D 8 FF FF FF 00 00 FF FF FF 
3.857533,2026-07-29 10:07:10.450,0,,,,,CAN=3.857533 Rx 0 $0CF00400 D 8 FF FF FF 00 00 FF FF FF 
3.858115,2026-07-29 10:07:10.451,,0,,,,CAN=3.858115 Rx 0 $0CF00300 D 8 FF 00 FF FF FF FF FF FF 
3.86757,2026-07-29 10:07:10.460,0,,,,,CAN=3.86757 Rx 0 $0CF00400 D 8 FF FF FF 00 00 FF FF FF 
3.877599,2026-07-29 10:07:10.470,0,,,,,CAN=3.877599 Rx 0 $0CF00400 D 8 FF FF FF 00 00 FF FF FF 
3.887632,2026-07-29 10:07:10.480,0,,,,,CAN=3.887632 Rx 0 $0CF00400 D 8 FF FF FF 00 00 FF FF FF 
3.897666,2026-07-29 10:07:10.490,0,,,,,CAN=3.897666 Rx 0 $0CF00400 D 8 FF FF FF 00 00 FF FF FF 
3.907698,2026-07-29 10:07:10.500,0,,,,,CAN=3.907698 Rx 0 $0CF00400 D 8 FF FF FF 00 00 FF FF FF 
3.90828,2026-07-29 10:07:10.501,,0,,,,CAN=3.90828 Rx 0 $0CF00300 D 8 FF 00 FF FF FF FF FF FF 
3.908871,2026-07-29 10:07:10.501,,,0,,,CAN=3.908871 Rx 0 $18FEF100 D 8 FF 00 00 FF FF FF FF FF 
3.909465,2026-07-29 10:07:10.502,,,,0,0,CAN=3.909465 Rx 0 $18FEF200 D 8 00 00 00 00 FF FF FF FF 
3.917732,2026-07-29 10:07:10.510,0,,,,,CAN=3.917732 Rx 0 $0CF00400 D 8 FF FF FF 00 00 FF FF FF 
3.927765,2026-07-29 10:07:10.520,0,,,,,CAN=3.927765 Rx 0 $0CF00400 D 8 FF FF FF 00 00 FF FF FF 
3.937794,2026-07-29 10:07:10.530,0,,,,,CAN=3.937794 Rx 0 $0CF00400 D 8 FF FF FF 00 00 FF FF FF 
3.947826,2026-07-29 10:07:10.540,0,,,,,CAN=3.947826 Rx 0 $0CF00400 D 8 FF FF FF 00 00 FF FF FF 
3.957858,2026-07-29 10:07:10.550,0,,,,,CAN=3.957858 Rx 0 $0CF00400 D 8 FF FF FF 00 00 FF FF FF 
3.95844,2026-07-29 10:07:10.551,,0,,,,CAN=3.95844 Rx 0 $0CF00300 D 8 FF 00 FF FF FF FF FF FF 
3.967895,2026-07-29 10:07:10.560,0,,,,,CAN=3.967895 Rx 0 $0CF00400 D 8 FF FF FF 00 00 FF FF FF 
3.977928,2026-07-29 10:07:10.570,0,,,,,CAN=3.977928 Rx 0 $0CF00400 D 8 FF FF FF 00 00 FF FF FF 
3.98796,2026-07-29 10:07:10.580,0,,,,,CAN=3.98796 Rx 0 $0CF00400 D 8 FF FF FF 00 00 FF FF FF 
3.997993,2026-07-29 10:07:10.590,0,,,,,CAN=3.997993 Rx 0 $0CF00400 D 8 FF FF FF 00 00 FF FF FF 
4.008026,2026-07-29 10:07:10.601,0,,,,,CAN=4.008026 Rx 0 $0CF00400 D 8 FF FF FF 00 00 FF FF FF 
4.008608,2026-07-29 10:07:10.601,,0,,,,CAN=4.008608 Rx 0 $0CF00300 D 8 FF 00 FF FF FF FF FF FF 
4.009198,2026-07-29 10:07:10.602,,,0,,,CAN=4.009198 Rx 0 $18FEF100 D 8 FF 00 00 FF FF FF FF FF 
4.009792,2026-07-29 10:07:10.602,,,,0,0,CAN=4.009792 Rx 0 $18FEF200 D 8 00 00 00 00 FF FF FF FF 
4.018052,2026-07-29 10:07:10.611,0,,,,,CAN=4.018052 Rx 0 $0CF00400 D 8 FF FF FF 00 00 FF FF FF 
4.028093,2026-07-29 10:07:10.621,0,,,,,CAN=4.028093 Rx 0 $0CF00400 D 8 FF FF FF 00 00 FF FF FF 
4.038122,2026-07-29 10:07:10.631,0,,,,,CAN=4.038122 Rx 0 $0CF00400 D 8 FF FF FF 00 00 FF FF FF 
